PR_number,PR_title,Author,Merge_date,CR_Passed,CHECKS_PASSED
174175,Raise ConfigEntryNotReady on Ollama connection errors,balloob,2026-06-18T06:19:45Z,True,True
174138,Fix stale routine entities removal for Alexa Devices,chemelli74,2026-06-18T06:20:57Z,True,True
173807,Add ventilation state select to Duco box nodes,ronaldvdmeer,2026-06-18T07:10:41Z,False,True
174104,Suppress SMTPException from quit() during SMTP notify retry,frenck,2026-06-18T07:25:23Z,True,False
174177,Fix Duco error placeholders and test typing,ronaldvdmeer,2026-06-18T07:27:06Z,True,True
174160,Fix summary for aw check requirements,edenhaus,2026-06-18T07:31:59Z,True,True
174173,Add radio frequency entity name translation,balloob,2026-06-18T07:34:03Z,True,True
173259,Open repair issue when deprecated trigger behavior is used,emontnemery,2026-06-18T07:36:02Z,True,True
172407,Improve tests of helpers.trigger.extract_devices/entities,emontnemery,2026-06-18T07:36:55Z,True,True
174167,Cast SwitchBot Cloud device sw_version to string,gaborbernat,2026-06-18T07:38:46Z,True,True
174233,Wrap cloud OAuth2 token refresh errors into proper exception types,frenck,2026-06-19T07:18:24Z,True,True
174246,Update ruff to v0.15.17,renovate[bot],2026-06-19T07:17:35Z,True,True
173954,Add Teslemetry command quota sensor,Bre77,2026-06-19T06:49:57Z,True,True
174219,MELCloud Home add constant in diagnostics,erwindouna,2026-06-19T06:41:48Z,True,True
174232,Skip fill sensor for Rituals diffusers without fill data,frenck,2026-06-19T06:39:35Z,True,True
174176,Document uv upgrade workaround in AGENTS.md,balloob,2026-06-18T05:03:35Z,True,True
173679,Add network MAC connection to AsusWRT router,jasonjhofmann,2026-06-18T05:09:13Z,True,True
174247,Update infrared-protocols to 6.1.0,renovate[bot],2026-06-19T04:56:31Z,True,True
174241,Bump yoto-api to 4.3.1,piitaya,2026-06-19T04:54:42Z,True,True
174216,Use default cosign-release for pinned cosign-installer version,justanotherariel,2026-06-18T17:56:52Z,True,True
173134,Add API to query radio frequency information,balloob,2026-06-18T02:38:56Z,True,True
174158,Bump aioamazondevices to 14.1.3,chemelli74,2026-06-17T21:46:50Z,True,True
174144,Docstring and comment grammar etc fixes,scop,2026-06-17T21:06:10Z,True,True
174135,Refactor Raspberry Pi Power Checker integration,tr4nt0r,2026-06-17T16:33:26Z,True,True
172929,Add Raspberry Pi Firmware update entity,sairon,2026-06-17T21:36:01Z,True,True
174124,Remove radio firmware version from device info in homeassistant_yellow,sairon,2026-06-17T21:36:09Z,True,True
174147,Fix tests in Onboarding integration,tr4nt0r,2026-06-17T20:11:55Z,True,True
173634,Add leak alerts to Droplet integration,sarahseidman,2026-06-18T20:00:55Z,True,True
172584,Rewrite Nexia integration platform tests with a mock Nexia library,jrhillery,2026-06-18T19:33:24Z,True,True
173909,Add ambient color selects to Yoto,piitaya,2026-06-18T19:54:13Z,True,True
